Source:  2011-2015 American Community Survey 5-year Estimates ,,,
Compiled by DECD Research,,,
2017-06-05 00:00:00,,,
,,,
Towns,MedianHouseholdIncome,MeanHouseholdIncome,PerCapitaIncome
,,,
Andover,100321,111230,40182
Ansonia,43305,62858,24359
Ashford,77870,95339,39139
Avon,123894,172245,66822
Barkhamsted,95735,102210,40156
Beacon Falls,83155,94002,37736
Berlin,87810,104448,40865
Bethany,97254,112461,42397
Bethel,92125,113515,43569
Bethlehem,84306,114218,43516
Bloomfield,72762,91501,39155
Bolton,97019,120635,49199
Bozrah,77045,88628,34778
Branford,71938,97243,44043
Bridgeport,41801,56565,21002
Bridgewater,98424,145879,66035
Bristol,61478,74762,31709
Brookfield,112684,133819,47633
Brooklyn,60694,74756,27244
Burlington,113472,131895,47339
Canaan,72321,90077,42222
Canterbury,83862,87707,33135
Canton,87326,120304,47497
Chaplin,67054,80759,31326
Cheshire,106489,126359,44280
Chester,78750,94053,40730
Clinton,71455,90436,36954
Colchester,97313,105512,38599
Colebrook,81172,92338,34330
Columbia,89986,103555,39947
Cornwall,75833,119161,49753
Coventry,90309,106537,39552
Cromwell,82081,101902,40905
Danbury,66676,85620,31284
Darien,208906,313277,96767
Deep River,69395,102653,43294
Derby,51596,63666,26119
Durham,113152,136223,48570
East Granby,72684,91342,38544
East Haddam,82117,103376,39877
East Hampton,96299,109137,42259
East Hartford,48369,60216,24961
East Haven,63120,78485,31781
East Lyme,84029,104053,41161
East Windsor,74798,84660,34623
Eastford,78466,90672,35011
Easton,131189,163115,58532
Ellington,85545,106457,43323
Enfield,67377,79354,30116
Essex,86376,117332,53427
Fairfield,122306,176523,60155
Farmington,91712,128110,52341
Franklin,87708,104382,39151
Glastonbury,109018,151010,57709
Goshen,92361,98147,39089
Granby,102671,139097,52984
Greenwich,128153,250125,90087
Griswold,59153,81356,30814
Groton,62137,82460,35638
Guilford,99132,131356,52071
Haddam,99866,115800,46119
Hamden,70791,89351,34907
Hampton,76625,93305,37031
Hartford,30630,44434,17311
Hartland,91964,104018,36787
Harwinton,91875,123100,45301
Hebron,105104,124039,43632
Kent,60714,84455,34015
Killingly,55764,65445,27210
Killingworth,112137,126235,48537
Lebanon,89375,96688,35798
Ledyard,84825,99378,38344
Lisbon,81200,95576,35711
Litchfield,82361,107893,45766
Lyme,81650,117144,51318
Madison,107183,139395,52413
Manchester,63158,77924,33154
Mansfield,60263,83494,19613
Marlborough,108698,125525,44991
Meriden,54588,66954,28601
Middlebury,97756,120844,44074
Middlefield,102426,108443,43369
Middletown,63691,83645,34992
Milford,80247,98262,40616
Monroe,110558,142503,48998
Montville,70036,81368,29689
Morris,83750,117639,46999
Naugatuck,58078,81615,32241
New Britain,40457,53246,21470
New Canaan,168311,309243,105846
New Fairfield,101273,124667,43622
New Hartford,87596,94784,36769
New Haven,37192,57499,23527
New London,36250,50577,21736
New Milford,78343,101293,39331
Newington,79960,89963,38192
Newtown,111022,137886,48744
Norfolk,72875,104561,45462
North Branford,84697,106584,41661
North Canaan,69231,69844,29689
North Haven,86340,103094,38137
North Stonington,75954,89888,33841
Norwalk,76987,108184,43570
Norwich,50078,65163,26823
Old Lyme,87025,110147,46429
Old Saybrook,71796,103397,44293
Orange,107047,138121,49776
Oxford,97296,113467,39438
Plainfield,60673,69978,27137
Plainville,58500,72585,31306
Plymouth,70167,78402,31511
Pomfret,91053,109833,40380
Portland,90417,109228,45534
Preston,69275,82895,34231
Prospect,102397,111627,39229
Putnam,51621,60455,25888
Redding,121270,158316,61043
Ridgefield,145902,211227,75634
Rocky Hill,81576,103285,42252
Roxbury,96875,167143,68446
Salem,105326,114879,41667
Salisbury,82794,128590,53332
Scotland,79896,87704,31378
Seymour,76991,89225,33917
Sharon,74625,122029,57523
Shelton,86870,109160,42417
Sherman,108398,162148,63914
Simsbury,113355,142974,53329
Somers,95605,108124,33792
South Windsor,97389,119936,45100
Southbury,84058,105604,42350
Southington,82704,99831,39808
Sprague,64063,72350,29973
Stafford,62371,75034,30952
Stamford,79359,125112,47819
Sterling,72220,80996,26809
Stonington,77295,101846,43749
Stratford,66886,84160,34467
Suffield,99707,129915,41104
Thomaston,67191,79589,31576
Thompson,69924,81605,33643
Tolland,110593,129471,45901
Torrington,56264,67701,29737
Trumbull,111312,135078,46037
Union,95865,114809,43276
Vernon,59961,73887,33874
Voluntown,76012,83258,32006
Wallingford,74060,93035,38067
Warren,90865,128163,52716
Washington,81354,161781,70264
Waterbury,40467,52597,20685
Waterford,75956,95108,39135
Watertown,78722,98236,36883
West Hartford,86569,123559,49600
West Haven,50846,67346,26143
Westbrook,78346,116373,48545
Weston,217171,283202,92794
Westport,162907,270222,97395
Wethersfield,77195,93540,38753
Willington,73526,88747,36630
Wilton,172095,241155,78131
Winchester,52757,69404,31050
Windham,41398,51366,19783
Windsor,81982,95282,36322
Windsor Locks,68944,82986,34035
Wolcott,80323,95089,34468
Woodbridge,133412,166416,58594
Woodbury,80350,110669,46853
Woodstock,78594,89652,35502
